2025-07-22 15:06:31,968 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:06:46,976 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:07:02,297 - IP: 127.0.0.1 | Method: POST | Path: /login
2025-07-22 15:07:02,300 - IP: 127.0.0.1 | Method: POST | Path: /login/
2025-07-22 15:07:08,443 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:14:51,141 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:15:04,876 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:15:26,015 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:15:26,963 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:15:27,740 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:15:29,596 - IP: 127.0.0.1 | Method: GET | Path: /docs
2025-07-22 15:15:29,696 - IP: 127.0.0.1 | Method: GET | Path: /openapi.json
2025-07-22 15:15:37,634 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:16:41,641 - IP: 127.0.0.1 | Method: POST | Path: /login
2025-07-22 15:16:41,644 - IP: 127.0.0.1 | Method: POST | Path: /login/
2025-07-22 15:16:47,885 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:23:53,888 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:34:02,150 - IP: 127.0.0.1 | Method: GET | Path: /category/
2025-07-22 15:37:05,962 - IP: 127.0.0.1 | Method: GET | Path: /category/
